i, live, q0, q1, q2, q3, q4
00181, 00181, 00192, 00192, 00192, 00180, 00180
00182, 00182, 00192, 00192, 00192, 00180, 00180
00183, 00183, 00192, 00192, 00192, 00180, 00186
00184, 00184, 00192, 00192, 00192, 00180, 00186
00185, 00185, 00192, 00192, 00192, 00180, 00186
00186, 00186, 00192, 00192, 00192, 00192, 00186
00187, 00187, 00192, 00192, 00192, 00192, 00186
00188, 00188, 00192, 00192, 00192, 00192, 00186
00189, 00189, 00192, 00192, 00192, 00192, 00192
00190, 00190, 00192, 00192, 00192, 00192, 00192
00191, 00191, 00192, 00192, 00192, 00192, 00192
